START_ID,END_ID,TYPE,name
小儿慢性支气管炎,芦笋胡萝卜汁,recommand_eat,推荐食谱
肝硬化男性性功能减弱综合征,猪皮红枣羹,recommand_eat,推荐食谱
特发性胃肠道嗜酸性细胞浸润综合征,瓜粒杂锦汤,recommand_eat,推荐食谱
结核性膀胱自发破裂,马兰头拌豆腐,recommand_eat,推荐食谱
浅层点状角膜炎,紫菜芙蓉汤,recommand_eat,推荐食谱
高血压病伴发的精神障碍,口蘑香菇粥,recommand_eat,推荐食谱
真菌性巩膜炎,香菇油菜面筋粥,recommand_eat,推荐食谱
急喉风,冬瓜拌西红柿,recommand_eat,推荐食谱
创伤性溃疡,凉拌番茄,recommand_eat,推荐食谱
慢性肾性贫血,菠菜双蛋羹,recommand_eat,推荐食谱
眶骨髓炎,南瓜团子,recommand_eat,推荐食谱
厥脱,高丽参附子炖鸡肉,recommand_eat,推荐食谱
幼年型类风湿性关节炎,羊肉温补汤,recommand_eat,推荐食谱
小儿腓骨肌萎缩症,银鱼仔蟹锅,recommand_eat,推荐食谱
小儿雄激素不敏感综合征,海带粳米粥,recommand_eat,推荐食谱
急性假膜型念珠菌口炎,烧肉蛋包饭,recommand_eat,推荐食谱
骨巨细胞瘤,鸽蛋圆子,recommand_eat,推荐食谱
脑室炎,清炒绿豆芽,recommand_eat,推荐食谱
小阴茎,白菜小米卷,recommand_eat,推荐食谱
白细胞减少症,牛奶菠菜粥,recommand_eat,推荐食谱
手癣,莲子猪肚,recommand_eat,推荐食谱
颈椎双侧关节突关节脱位,胡萝卜苹果汁,recommand_eat,推荐食谱
性欲减退,牛奶麦片蜜枣粥,recommand_eat,推荐食谱
不均匀性脂肪肝,木耳粥,recommand_eat,推荐食谱
小儿过敏性紫瘢,萝卜豆腐汤,recommand_eat,推荐食谱
外阴急性蜂窝组织炎,冬菇云耳丝瓜豆腐汤,recommand_eat,推荐食谱
蝶骨嵴脑膜瘤,马兰头菜粥,recommand_eat,推荐食谱
糖尿病合并低血糖,白菜清汤,recommand_eat,推荐食谱
脐尿管囊肿,苹果鹌鹑,recommand_eat,推荐食谱
子宫肌瘤,腰果拌西芹,recommand_eat,推荐食谱
神经系统先天性疾病,牛肉豆腐羹,recommand_eat,推荐食谱
阴茎异常勃起,枸杞子羊肉片,recommand_eat,推荐食谱
泪腺肿瘤,香蕉百合银耳羹,recommand_eat,推荐食谱
心肌炎,小麦红枣猪脑汤,recommand_eat,推荐食谱
急性胃肠炎,菠菜汤,recommand_eat,推荐食谱
口腔结核性溃疡,芡实白果糯米粥,recommand_eat,推荐食谱
